datetime,code,open,close,high,low,vol,amount,p_change
2012-06-11,000300,2529.6,2558.26,2565.43,2523.77,400982.0,43449659392.0,1.34
2012-06-12,000300,2543.76,2540.18,2553.92,2529.95,379366.0,40259911680.0,-0.71
2012-06-13,000300,2546.79,2580.64,2581.12,2539.63,450145.0,51291271168.0,1.59
2012-06-14,000300,2573.33,2560.42,2584.71,2558.56,402479.0,46331822080.0,-0.78
2012-06-15,000300,2565.19,2568.05,2580.17,2538.57,427860.0,48868302848.0,0.3
2012-06-18,000300,2576.63,2581.21,2593.22,2572.99,356936.0,40852451328.0,0.51
2012-06-19,000300,2577.36,2558.62,2577.36,2556.1,327005.0,37020041216.0,-0.88
2012-06-20,000300,2563.64,2552.61,2570.66,2549.44,298506.0,33573668864.0,-0.23
2012-06-21,000300,2547.05,2512.19,2547.05,2502.42,353967.0,38607958016.0,-1.58
2012-06-25,000300,2501.16,2456.52,2501.16,2455.01,401067.0,42503507968.0,-2.22
2012-06-26,000300,2442.56,2454.92,2465.12,2434.64,317340.0,33896511488.0,-0.07
2012-06-27,000300,2452.67,2447.2,2470.76,2444.34,300075.0,31437596672.0,-0.31
2012-06-28,000300,2451.66,2425.73,2459.19,2425.24,305431.0,34418794496.0,-0.88
2012-06-29,000300,2418.86,2461.61,2462.81,2417.49,379949.0,40976539648.0,1.48
2012-07-02,000300,2473.54,2465.24,2473.97,2452.99,405100.0,45651476480.0,0.15
2012-07-03,000300,2464.85,2468.72,2490.55,2457.45,386933.0,45004652544.0,0.14
2012-07-04,000300,2474.53,2464.92,2481.34,2456.0,344521.0,37837660160.0,-0.15
2012-07-05,000300,2450.3,2430.37,2450.3,2420.0,347261.0,35946205184.0,-1.4
2012-07-06,000300,2435.06,2472.61,2477.23,2420.36,496106.0,56601780224.0,1.74
2012-07-09,000300,2455.89,2416.04,2470.21,2414.95,492233.0,54601732096.0,-2.29
2012-07-10,000300,2411.0,2406.71,2426.53,2402.37,355499.0,38539026432.0,-0.39
2012-07-11,000300,2402.18,2425.57,2427.79,2402.15,376243.0,39851892736.0,0.78
2012-07-12,000300,2420.04,2449.18,2460.56,2404.58,567176.0,65137537024.0,0.97
2012-07-13,000300,2441.01,2450.63,2467.99,2438.98,367252.0,42013581312.0,0.06
2012-07-16,000300,2452.6,2399.73,2452.6,2399.61,427718.0,45844881408.0,-2.08
2012-07-17,000300,2391.9,2414.2,2421.93,2391.28,334243.0,38285443072.0,0.6
